ID de la playlist,ID des chaînes,Date et heure de création,Date et heure de mise à jour,Titre,Description,Visibilité
PLy0L-A3Ggd6uXCKeS6lxN_FdJhCZtr1BC,UCRdDMa9ryNyZhMIxQPhR1tA,2016-07-29 19:53:56 UTC,2021-09-25 17:32:56 UTC,Watch later,,Personnel

ID vidéo,Date et heure d'ajout
_jUYoQ5VCQs,2020-07-29 09:24:32 UTC
kjyeCdd-dl8,2020-07-28 19:49:26 UTC
0AC2WEYclJs,2020-07-28 19:49:02 UTC
p8ePDKlF6T0,2020-07-28 19:48:18 UTC
3zYzPQmFRsM,2020-07-28 19:48:07 UTC
F6_U6rdjbmI,2020-07-28 19:48:01 UTC
L5qY1tWq6Fo,2020-07-28 18:37:24 UTC
DKqKLnsmoK4,2020-07-25 15:23:28 UTC
7VRYKlnEP7o,2020-07-18 11:31:19 UTC
FVkIsr52Lxw,2020-07-17 00:25:52 UTC
EJ6dnC7uj3k,2020-07-16 22:47:34 UTC
W1pA4mFLyvU,2020-07-15 15:03:47 UTC
HkR3vftCs3U,2020-07-09 18:18:37 UTC
psxMJN7BqIM,2020-07-09 08:49:53 UTC
tBCWJYX54Y0,2020-07-07 12:11:56 UTC
PtxtnIsqOEQ,2020-07-06 16:07:49 UTC
S5ulX06McSY,2020-06-20 22:05:38 UTC
5yuqcfp1xxI,2020-06-20 20:52:57 UTC
46CO8w2_LvQ,2020-06-19 23:01:02 UTC
TojgdbdBm9Y,2020-06-16 19:01:09 UTC
Q03frcLDXWk,2020-06-16 00:56:13 UTC
U9h4BTfGGTQ,2020-06-16 00:36:13 UTC
5tP8_onP0Js,2020-06-14 20:09:08 UTC
qwy5E_4zC-c,2020-06-12 21:11:57 UTC
KVnBikbYGic,2020-06-12 21:11:24 UTC
Bl2NWuXDlhQ,2020-06-12 18:41:44 UTC
q8oQNCas2Bs,2020-06-12 15:28:39 UTC
FTQhojTOCzE,2020-06-09 07:21:00 UTC
yOo7_7OyEjg,2020-06-09 07:20:46 UTC
1jujZUruiy8,2020-06-09 06:46:22 UTC
O8G46NxgCp8,2020-06-05 09:47:26 UTC
yeHimGwZmSU,2020-06-04 16:41:21 UTC
Rs9P4HRAnEA,2020-06-03 13:53:04 UTC
u1HrjO1ftnQ,2020-06-03 13:52:34 UTC
kDbHSxCCDvI,2020-06-03 13:52:09 UTC
g_PIXr-Wj4A,2020-06-03 13:51:39 UTC
wWRsFKxL_qw,2020-06-03 05:55:04 UTC
ybjegBNc87A,2020-06-03 05:48:09 UTC
CaRiCnc3GoE,2020-06-03 05:46:58 UTC
uAAuNjNXaIM,2020-05-31 19:11:26 UTC
pIncyopHg-4,2020-05-30 19:31:19 UTC
QtYckklFTs4,2020-05-30 04:11:25 UTC
mTqLAAi6BY0,2020-05-28 17:15:53 UTC
efdGQnF7uqY,2020-05-26 20:17:55 UTC
o9QjlLdYK5I,2020-05-25 16:28:17 UTC
MkxjmB_6A3k,2020-05-23 20:11:14 UTC
vY9xlwjEbrM,2020-05-22 18:03:05 UTC
DOiy-i33TH8,2020-05-22 16:48:02 UTC
rPdln-PUZuE,2020-05-20 19:28:26 UTC
wScdRvMQdu8,2020-05-19 15:08:01 UTC
GB5MplOqvGM,2020-05-19 06:11:56 UTC
W6HiWPsMzTo,2020-05-19 06:11:35 UTC
Z6gLoxVw7cQ,2020-05-19 06:10:07 UTC
AYSkGdNbS9U,2020-05-18 17:04:55 UTC
dgj16KSgtIE,2020-05-17 23:02:42 UTC
6TOEWPDrnwQ,2020-05-17 23:00:49 UTC
dPyVePprd6s,2020-05-17 23:00:39 UTC
zFDCEf_hbQA,2020-05-16 19:44:39 UTC
aJSfxgmRAis,2020-05-12 21:18:27 UTC
l7hyPEPJozE,2020-05-11 21:15:44 UTC
jOFco1xuIeo,2020-05-10 06:09:54 UTC
PvUupR5cffY,2020-05-09 15:22:02 UTC
VrjdDwK0PlE,2020-05-09 15:20:19 UTC
yFUKNWaaUZs,2020-05-09 13:43:22 UTC
tYMDXuoEUe0,2020-05-09 12:26:31 UTC
5ECwhB21Pnk,2020-05-02 10:39:05 UTC
B1LaqHiSARc,2020-05-01 21:32:25 UTC
4NgPKSzR0LU,2020-05-01 06:55:23 UTC
A4du3_6QGm8,2020-05-01 06:54:17 UTC
nMQhVwasBRA,2020-05-01 06:52:11 UTC
IrXe9dljT7M,2020-04-30 11:25:27 UTC
v9tM_YHvhuA,2020-04-30 11:25:07 UTC
K6VQJoxJ8DI,2020-04-29 22:25:08 UTC
9PyBSTR3aEc,2020-04-29 17:32:17 UTC
qdqJfFkQKEI,2020-04-24 17:08:21 UTC
W9b7ibFUZZg,2020-04-24 17:08:00 UTC
9QiE-M1LrZk,2020-04-22 13:56:03 UTC
r-CMgJpvEnE,2020-04-19 17:49:03 UTC
yeX_Zs7zztY,2020-04-19 14:29:32 UTC
THJK18PNjX4,2020-04-18 23:16:19 UTC
cuIkLNsRtas,2020-04-12 10:02:28 UTC
VtyDg-cm2yI,2020-04-09 16:25:56 UTC
jLwGp7osyvE,2020-04-04 16:30:26 UTC
9HiaLKum8N8,2020-03-31 17:46:52 UTC
2ov9uEArDlo,2020-03-21 13:19:10 UTC
UJbaWZsp2CE,2020-03-20 19:02:00 UTC
Y5iY0monNBM,2020-03-20 19:01:01 UTC
JkR7zClEkAo,2020-03-20 10:33:27 UTC
RiArq7D5nz0,2020-03-19 22:57:55 UTC
blHVYY0dr3U,2020-03-17 20:44:18 UTC
m6EAk1iHqeM,2020-03-14 09:53:25 UTC
fV09URCmwAk,2020-03-14 09:53:23 UTC
u79oU_VI9FY,2020-03-13 17:29:12 UTC
I-iMVsi0IuY,2020-03-12 15:25:55 UTC
6JYBzrLhRuU,2020-03-12 15:25:45 UTC
N9VFDv4JSPY,2020-03-10 07:46:52 UTC
qnakpYFyMkc,2020-03-07 13:36:58 UTC
ZBIUeC4U4d8,2020-03-05 09:02:58 UTC
nnm4DOqXx9A,2020-03-05 05:02:01 UTC
rDGRAHBojWE,2020-03-04 16:53:15 UTC
pRuDoJx8Rv4,2020-02-29 17:35:22 UTC
WHRp7UleY_4,2020-02-29 13:48:43 UTC
e-7uuV7B7mo,2020-02-29 08:54:16 UTC
6_PRoIzqkis,2020-02-28 22:37:32 UTC
ufDv17BT5gc,2020-02-20 21:23:34 UTC
8E4WikpIZnc,2020-02-20 21:22:54 UTC
IxUnlE-iXpQ,2020-02-20 11:44:25 UTC
lDvT1JuDzV4,2020-02-20 11:42:37 UTC
1MKuWb9KeRI,2020-02-19 21:46:34 UTC
ZvtpEEEVH4A,2020-02-18 09:45:04 UTC
tD9WCpNFpnY,2020-02-18 00:13:25 UTC
8TjfpO_BPDI,2020-02-13 05:43:04 UTC
X4CYhyDaEvo,2020-02-12 18:07:40 UTC
1oeOPIn79p4,2020-02-12 17:22:56 UTC
NfUeUCErCmQ,2020-02-12 17:22:20 UTC
JUMZXKcHNX8,2020-02-11 16:52:11 UTC
BbU5j_8ITmw,2020-02-11 16:51:01 UTC
ODfLODmjVKc,2020-02-11 16:50:25 UTC
t4QRH0CRjb4,2020-02-10 22:55:54 UTC
2lcoQebsf0k,2020-02-10 16:42:43 UTC
tDEKZiWJ-JM,2020-02-06 23:36:47 UTC
_ikMaZDUQuo,2020-02-06 19:58:08 UTC
7dbTwIXqfp8,2020-02-06 15:18:33 UTC
KYYjm9NP1Vs,2020-02-06 15:18:26 UTC
RZbfCkqvwUY,2020-02-04 16:51:11 UTC
L0WdLyJOiSY,2020-02-03 10:18:56 UTC
S5Il0XQ9i7U,2020-02-02 21:54:44 UTC
Y8IBMucNAOY,2020-02-02 07:44:45 UTC
DK1w8K5SuuM,2020-02-02 07:43:58 UTC
lJzRQdDN2pY,2020-02-01 17:28:27 UTC
meYiCAzmEcQ,2020-02-01 17:25:11 UTC
GDpI9iEZ8tk,2020-02-01 17:23:00 UTC
OGmjmyk4nY0,2020-02-01 17:20:44 UTC
fx9-cMoEv7k,2020-02-01 17:20:36 UTC
eZCo_hZLyh0,2020-02-01 17:20:05 UTC
urTJFZqpuss,2020-01-31 21:58:55 UTC
diG-kq5LIQ0,2020-01-31 20:36:24 UTC
bbPgHMJouKw,2020-01-30 21:58:54 UTC
DXDlt8YksbI,2020-01-30 21:41:25 UTC
AdJONGbOTVc,2020-01-30 17:18:02 UTC
io2rcRQ8xTA,2020-01-30 13:47:07 UTC
9Vdl70UNG3U,2020-01-30 13:46:42 UTC
qVTUdm_nDfs,2020-01-29 22:22:31 UTC
WhmdGp2WXz8,2020-01-29 10:25:46 UTC
3Dt7xh3hcjM,2020-01-27 21:50:13 UTC
BPQVNGEtBEI,2020-01-27 21:35:57 UTC
ecZqlji4uEo,2020-01-24 16:25:46 UTC
uJqbHaFqjmI,2020-01-20 01:40:46 UTC
RHQTboP1RIw,2020-01-15 20:26:36 UTC
B67OVJTyV0I,2020-01-15 02:32:18 UTC
50Si2g0wzuk,2020-01-12 14:05:14 UTC
OgFcz6klaeg,2020-01-11 17:21:37 UTC
wFH5UjVtPpM,2020-01-11 17:21:25 UTC
kHad-0odf48,2020-01-11 17:21:07 UTC
VvAmSCk-6OM,2020-01-11 16:56:52 UTC
qQhdhPKOYBo,2020-01-11 16:54:12 UTC
ERaO3TJ6ZMA,2020-01-11 16:51:35 UTC
-9uXhyE9ju8,2020-01-11 16:50:39 UTC
Z6BKRaaSLn0,2020-01-11 16:50:11 UTC
m1jPL1ZkjrI,2020-01-11 16:49:59 UTC
FAjXJKI5l40,2020-01-11 12:08:30 UTC
6I76ZspgyEw,2020-01-11 06:11:58 UTC
BP6IeYdWxuI,2020-01-10 18:13:11 UTC
Xwx6i4IQcFw,2020-01-10 15:57:58 UTC
